timestamp,Track URL,Thumbnail image,Artist name,Track name,Medium image,Album name
2013-12-28 01:51:00,http://www.last.fm/music/Andy+Whitby+&+Klubfiller/_/DJ+Whore+(Bounce+Mix),,Andy Whitby & Klubfiller,DJ Whore (Bounce Mix),,Euphoria Hard Dance Awards 2010
2013-12-28 01:48:00,http://www.last.fm/music/Coone/_/Coone+&+Technoboy+-+Nustyle+Crap+(Technoboy+Goes+Crazy+Mix)+(Official+HQ+Preview),,Coone,Coone & Technoboy - Nustyle Crap (Technoboy Goes Crazy Mix) (Official HQ Preview),,
2013-12-28 01:43:00,http://www.last.fm/music/Skrillex/_/Ruffneck+(Flex),http://userserve-ak.last.fm/serve/34s/80425701.png,Skrillex,Ruffneck (Flex),http://userserve-ak.last.fm/serve/64s/80425701.png,More Monsters And Sprites
2013-12-28 01:34:00,http://www.last.fm/music/Leftfield/_/Black+Flute,http://userserve-ak.last.fm/serve/34s/75134846.jpg,Leftfield,Black Flute,http://userserve-ak.last.fm/serve/64s/75134846.jpg,Tourism
2013-12-28 01:31:00,http://www.last.fm/music/Angerfist/_/Dance+With+The+Wolves,http://userserve-ak.last.fm/serve/34s/29772191.jpg,Angerfist,Dance With The Wolves,http://userserve-ak.last.fm/serve/64s/29772191.jpg,Pissin' Razorbladez
2013-12-28 01:25:00,http://www.last.fm/music/Annie/_/Annie+%3F+Gimme+Your+Money,,Annie,Annie ? Gimme Your Money,,DJ Kicks - Annie
2013-12-28 01:22:00,http://www.last.fm/music/Tiga/_/Tutto+Matto+-+You+(Vocal),,Tiga,Tutto Matto - You (Vocal),,K7 DJ-Kicks
2013-12-28 01:15:00,http://www.last.fm/music/The+KGB%27s/_/Infinity+(Technoboy+Ruff+Mix),,The KGB's,Infinity (Technoboy Ruff Mix),,Top 50 Italian Hardstyle Classics
2013-12-28 01:11:00,http://www.last.fm/music/Vitalic/_/No+Fun,http://userserve-ak.last.fm/serve/34s/25010077.jpg,Vitalic,No Fun,http://userserve-ak.last.fm/serve/64s/25010077.jpg,Ok Cowboy (Collector's Edition)
2013-12-28 00:13:00,http://www.last.fm/music/Kutski/_/BBC+Radio1+Residency+(Guest+Destructive+Tendencies)-SAT-06-07-2013,,Kutski,BBC Radio1 Residency (Guest Destructive Tendencies)-SAT-06-07-2013,,BBC Radio1 Residency (Guest Destructive Tendencies)-SAT-06-07
2013-12-27 22:40:00,http://www.last.fm/music/Kutski/_/BBC+Radio1+(Deathchant+Freerange+Mix)-SAT-03-24-2012,,Kutski,BBC Radio1 (Deathchant Freerange Mix)-SAT-03-24-2012,,BBC Radio1 (Deathchant Freerange Mix)-SAT-03-24
2013-12-27 22:34:00,http://www.last.fm/music/Andy+Whitby+&+Cally+Gage+&+Klubfiller/_/Everything%27s+Alright+(Breeze+&+Modulate+Mix),,Andy Whitby & Cally Gage & Klubfiller,Everything's Alright (Breeze & Modulate Mix),,Hard Dance Awards 2012 (Mixed by Kutski & Zatox & Steve Hill) WEB
2013-12-27 22:32:00,http://www.last.fm/music/A*S*Y*S/_/Nightmare+Intro,http://userserve-ak.last.fm/serve/34s/40234865.jpg,A*S*Y*S,Nightmare Intro,http://userserve-ak.last.fm/serve/64s/40234865.jpg,Acid Save Your Soul
2013-12-27 22:26:00,http://www.last.fm/music/A*S*Y*S/_/Acid+Nightmare,http://userserve-ak.last.fm/serve/34s/40234865.jpg,A*S*Y*S,Acid Nightmare,http://userserve-ak.last.fm/serve/64s/40234865.jpg,DJ Simple - Goliath Part 8 Judgement Day
2013-12-27 22:22:00,http://www.last.fm/music/Exit+EEE/_/Epidemic+(Edison+Factor+mix),,Exit EEE,Epidemic (Edison Factor mix),,Euphoria: Frantic Disc 2
2013-12-27 22:14:00,http://www.last.fm/music/Organ+Donors/_/Locked+Trance+(K90%27s+Under+The+Knife+Dub),,Organ Donors,Locked Trance (K90's Under The Knife Dub),,Nukleuz Tech Trance Classics 2011 WEB
2013-12-27 22:12:00,http://www.last.fm/music/FJ+Project/_/Ex+Pulse,,FJ Project,Ex Pulse,,Euphoria Hard Dance Awards 2010
